company_id,year,ROE,EPS,OPM,Performance_Score
INFY,2023,31.97,58.0,24.0,37.388
ULTRACEMCO,2016,11.3,90.0,19.0,37.22
POWERGRID,2021,17.21,13.0,88.0,37.184
POWERGRID,2021,17.21,13.0,88.0,37.184
IRFC,2022,14.85,5.0,99.0,37.14
MARUTI,2014,13.28,94.0,12.0,37.112
IRFC,2018,14.75,3.0,100.0,36.8
BAJAJFINSV,2024,25.85,51.0,37.0,36.74
IRFC,2023,13.8,5.0,99.0,36.72
IRFC,2024,13.04,5.0,100.0,36.716
POWERGRID,2020,17.09,12.0,87.0,36.536
POWERGRID,2020,17.09,12.0,87.0,36.536
DRREDDY,2024,19.74,67.0,28.0,36.396
GRASIM,2024,11.2,85.0,21.0,36.28
RECLTD,2018,13.66,17.0,85.0,36.064
LTIM,2016,39.34,49.0,18.0,35.836
LTIM,2018,28.81,65.0,16.0,35.824
BPCL,2024,35.51000000000001,62.0,10.0,35.804
DIVISLAB,2023,14.29,69.0,31.0,35.716
IRFC,2021,12.3,3.0,99.0,35.519999999999996
INFY,2022,29.39,53.0,26.0,35.455999999999996
ASIANPAINT,2024,29.68,57.0,21.0,35.272
ASIANPAINT,2024,29.68,57.0,21.0,35.272
LTIM,2017,30.88,57.0,19.0,35.152
IRFC,2020,10.54,3.0,100.0,35.116
ADANIPORTS,2024,15.35,38.0,58.0,34.94
ADANIPORTS,2024,15.35,38.0,58.0,34.94
ADANIPORTS,2024,15.35,38.0,58.0,34.94
ADANIPORTS,2024,15.35,38.0,58.0,34.94
ADANIPORTS,2024,15.35,38.0,58.0,34.94
ADANIPORTS,2024,15.35,38.0,58.0,34.94
ADANIPORTS,2024,15.35,38.0,58.0,34.94
ADANIPORTS,2024,15.35,38.0,58.0,34.94
BAJAJFINSV,2014,23.53,10.0,75.0,34.912
BRITANNIA,2020,31.66,58.0,16.0,34.864
ULTRACEMCO,2014,12.88,80.0,19.0,34.852000000000004
ADANIPORTS,2021,16.59,25.0,69.0,34.836
ADANIPORTS,2021,16.59,25.0,69.0,34.836
ADANIPORTS,2021,16.59,25.0,69.0,34.836
ADANIPORTS,2021,16.59,25.0,69.0,34.836
ADANIPORTS,2021,16.59,25.0,69.0,34.836
ADANIPORTS,2021,16.59,25.0,69.0,34.836
ADANIPORTS,2021,16.59,25.0,69.0,34.836
ADANIPORTS,2021,16.59,25.0,69.0,34.836
POWERGRID,2018,15.07,9.0,87.0,34.827999999999996
POWERGRID,2018,15.07,9.0,87.0,34.827999999999996
PFC,2023,25.17,48.0,34.0,34.668
ULTRACEMCO,2019,7.109999999999999,88.0,18.0,34.644
EICHERMOT,2020,18.3,67.0,24.0,34.62
DIVISLAB,2016,26.23,42.0,38.0,34.492
DIVISLAB,2019,19.45,51.0,38.0,34.48
POWERGRID,2017,14.94,8.0,87.0,34.476
POWERGRID,2017,14.94,8.0,87.0,34.476
APOLLOHOSP,2022,19.7,73.0,15.0,34.28
IRFC,2019,9.01,2.0,100.0,34.204
BRITANNIA,2015,55.34,29.0,11.0,34.136
TCS,2013,36.52,36.0,29.0,34.108000000000004
SIEMENS,2024,17.7,76.0,14.0,34.080000000000005
ADANIPORTS,2017,22.26,19.0,64.0,33.804
ADANIPORTS,2017,22.26,19.0,64.0,33.804
ADANIPORTS,2017,22.26,19.0,64.0,33.804
ADANIPORTS,2017,22.26,19.0,64.0,33.804
ADANIPORTS,2017,22.26,19.0,64.0,33.804
ADANIPORTS,2017,22.26,19.0,64.0,33.804
ADANIPORTS,2017,22.26,19.0,64.0,33.804
ADANIPORTS,2017,22.26,19.0,64.0,33.804
ULTRACEMCO,2018,8.43,81.0,20.0,33.672
TORNTPHARM,2024,24.15,49.0,31.0,33.66
POWERGRID,2016,13.55,6.0,88.0,33.62
POWERGRID,2016,13.55,6.0,88.0,33.62
JINDALSTEL,2022,18.99,56.0,30.0,33.396
DIVISLAB,2020,18.84,52.0,34.0,33.336
BAJAJFINSV,2023,26.31,40.0,36.0,33.324
HCLTECH,2024,23.01,58.0,22.0,33.204
POWERGRID,2019,16.98,11.0,77.0,33.192
POWERGRID,2019,16.98,11.0,77.0,33.192
ABB,2012,22.41,68.0,12.0,32.964
POWERGRID,2013,16.34,5.0,83.0,32.936
POWERGRID,2013,16.34,5.0,83.0,32.936
ULTRACEMCO,2015,11.04,76.0,19.0,32.916000000000004
ADANIENSOL,2016,13.77,3.0,88.0,32.808
MARUTI,2013,12.98,82.0,10.0,32.792
ADANIPORTS,2013,25.63,8.0,67.0,32.751999999999995
ADANIPORTS,2013,25.63,8.0,67.0,32.751999999999995
ADANIPORTS,2013,25.63,8.0,67.0,32.751999999999995
ADANIPORTS,2013,25.63,8.0,67.0,32.751999999999995
ADANIPORTS,2013,25.63,8.0,67.0,32.751999999999995
ADANIPORTS,2013,25.63,8.0,67.0,32.751999999999995
ADANIPORTS,2013,25.63,8.0,67.0,32.751999999999995
