company_id,year,return_on_equity_pct
ADANIPORTS,2022,11.84
DIVISLAB,2024,11.79
EICHERMOT,2021,11.78
NTPC,2016,11.77
DMART,2020,11.74
GRASIM,2020,11.72
SHREECEM,2020,11.72
ONGC,2023,11.68
NTPC,2023,11.65
SHRIRAMFIN,2016,11.64
ULTRACEMCO,2024,11.63
ICICIBANK,2016,11.61
JSWENERGY,2014,11.57
AMBUJACEM,2019,11.56
GAIL,2021,11.55
MOTHERSON,2024,11.55
JSWSTEEL,2024,11.55
BPCL,2013,11.54
NHPC,2023,11.53
GAIL,2018,11.53
SHRIRAMFIN,2021,11.51
MOTHERSON,2020,11.49
MARUTI,2020,11.49
RELIANCE,2013,11.47
AMBUJACEM,2024,11.43
BOSCHLTD,2022,11.39
CIPLA,2015,11.38
DRREDDY,2022,11.36
RELIANCE,2014,11.35
BAJAJHLDNG,2019,11.31
RELIANCE,2017,11.31
ULTRACEMCO,2016,11.3
GRASIM,2024,11.2
BAJAJHLDNG,2023,11.19
SHRIRAMFIN,2017,11.17
GRASIM,2015,11.16
ADANIENT,2014,11.14
ULTRACEMCO,2017,11.13
HINDALCO,2018,11.09
SHRIRAMFIN,2015,11.09
BAJAJHLDNG,2020,11.09
MARUTI,2023,11.08
DRREDDY,2021,11.07
ULTRACEMCO,2015,11.04
TATASTEEL,2021,11.03
APOLLOHOSP,2013,11.03
AXISBANK,2022,11.01
NTPC,2017,10.95
DMART,2022,10.91
ADANIENSOL,2023,10.9
NHPC,2021,10.89
SIEMENS,2018,10.86
ICICIBANK,2017,10.84
RELIANCE,2015,10.82
NHPC,2022,10.81
UNIONBANK,2023,10.8
HDFCLIFE,2024,10.73
JSWSTEEL,2020,10.71
GRASIM,2021,10.67
NHPC,2020,10.66
HINDALCO,2023,10.65
APOLLOHOSP,2014,10.58
KOTAKBANK,2016,10.56
BHEL,2014,10.56
APOLLOHOSP,2015,10.56
DRREDDY,2017,10.54
IRFC,2020,10.54
BAJAJHLDNG,2018,10.54
HDFCLIFE,2023,10.53
SIEMENS,2021,10.52
ICICIPRULI,2021,10.5
SHREECEM,2019,10.5
SHRIRAMFIN,2022,10.43
NHPC,2024,10.41
BHARTIARTL,2024,10.36
RELIANCE,2023,10.35
BHARTIARTL,2016,10.32
RELIANCE,2019,10.29
JINDALSTEL,2023,10.27
IOC,2014,10.26
NTPC,2018,10.14
BPCL,2020,10.04
NTPC,2020,10.02
JSWENERGY,2022,10.01
LODHA,2022,9.98
RELIANCE,2024,9.96
CIPLA,2018,9.96
CIPLA,2019,9.94
BAJAJHLDNG,2021,9.83
ONGC,2015,9.81
ADANIPOWER,2021,9.69
INDUSINDBK,2022,9.67
ONGC,2021,9.67
