company_id,year,return_on_equity_pct
RECLTD,2019,16.62
TVSMOTOR,2022,16.61
ADANIPORTS,2019,16.6
CHOLAFIN,2015,16.6
ADANIPORTS,2019,16.6
ADANIPORTS,2021,16.59
ADANIPORTS,2021,16.59
ICICIPRULI,2019,16.58
BAJAJHLDNG,2014,16.57
ICICIGI,2023,16.55
ICICIBANK,2023,16.53
TITAN,2017,16.47
AXISBANK,2015,16.37
POWERGRID,2013,16.34
POWERGRID,2013,16.34
LODHA,2020,16.3
BAJFINANCE,2020,16.28
SBILIFE,2020,16.26
MARUTI,2019,16.25
AXISBANK,2014,16.19
HAVELLS,2023,16.18
SHRIRAMFIN,2019,16.14
DMART,2019,16.14
TVSMOTOR,2014,16.11
CHOLAFIN,2014,16.09
BAJFINANCE,2022,16.08
BOSCHLTD,2016,16.06
SHRIRAMFIN,2014,15.96
HDFCBANK,2023,15.94
TATAPOWER,2018,15.92
TVSMOTOR,2021,15.89
BHARTIARTL,2023,15.84
CHOLAFIN,2021,15.84
AXISBANK,2024,15.83
CHOLAFIN,2013,15.78
BANKBARODA,2024,15.76
MARUTI,2024,15.75
HDFCLIFE,2021,15.75
BAJFINANCE,2018,15.75
ONGC,2013,15.73
ICICIGI,2024,15.72
CHOLAFIN,2016,15.67
MARUTI,2015,15.66
ICICIGI,2016,15.66
ONGC,2019,15.64
AXISBANK,2013,15.62
INDUSINDBK,2014,15.57
SHREECEM,2018,15.56
CIPLA,2024,15.55
NTPC,2013,15.49
ONGC,2014,15.49
HDFCBANK,2020,15.48
HDFCBANK,2022,15.43
GODREJCP,2022,15.43
LODHA,2018,15.41
M&M,2022,15.39
AXISBANK,2016,15.36
IOC,2019,15.36
ADANIPORTS,2024,15.35
ADANIPORTS,2024,15.35
JSWSTEEL,2017,15.31
ICICIBANK,2014,15.28
ICICIBANK,2015,15.28
SUNPHARMA,2023,15.2
TRENT,2023,15.18
HDFCBANK,2021,15.18
SHREECEM,2021,15.18
GAIL,2013,15.17
BAJAJHLDNG,2015,15.15
INDUSINDBK,2018,15.13
SHRIRAMFIN,2024,15.12
SUNPHARMA,2024,15.09
HAVELLS,2017,15.08
POWERGRID,2018,15.07
POWERGRID,2018,15.07
JSWENERGY,2016,15.05
M&M,2019,15.05
ONGC,2017,15.01
SIEMENS,2023,14.99
POWERGRID,2017,14.94
POWERGRID,2017,14.94
ADANIPORTS,2020,14.87
ADANIPORTS,2020,14.87
IRFC,2022,14.85
BAJAJHLDNG,2016,14.81
DIVISLAB,2018,14.8
GRASIM,2022,14.8
DMART,2023,14.79
ICICIPRULI,2020,14.79
TATAMOTORS,2016,14.79
SIEMENS,2017,14.79
AMBUJACEM,2014,14.77
