company_id,year,sales,operating_profit,opm_percentage
RECLTD,2017.0,24338.0,22450.0,92.0
BAJAJHLDNG,2024.0,1702.0,1562.0,92.0
BAJAJHLDNG,2015.0,524.0,484.0,92.0
RECLTD,2021.0,35557.0,32265.0,91.0
BAJAJHLDNG,2016.0,470.0,429.0,91.0
JIOFIN,2023.0,45.0,39.0,88.0
POWERGRID,2016.0,20652.0,18184.0,88.0
POWERGRID,2021.0,39640.0,34906.0,88.0
ADANIENSOL,2016.0,2194.0,1927.0,88.0
RECLTD,2022.0,39276.0,34438.0,88.0
POWERGRID,2023.0,45603.0,39576.0,87.0
POWERGRID,2024.0,45843.0,39826.0,87.0
POWERGRID,2017.0,25697.0,22450.0,87.0
POWERGRID,2018.0,29954.0,25961.0,87.0
POWERGRID,2020.0,37744.0,32886.0,87.0
RECLTD,2020.0,29942.0,25961.0,87.0
POWERGRID,2022.0,41622.0,35826.0,86.0
RECLTD,2018.0,22658.0,19279.0,85.0
POWERGRID,2015.0,17540.0,14927.0,85.0
BAJAJHLDNG,2018.0,420.0,355.0,85.0
JIOFIN,2024.0,1855.0,1559.0,84.0
POWERGRID,2013.0,13081.0,10837.0,83.0
POWERGRID,2014.0,15555.0,12967.0,83.0
ADANIGREEN,2017.0,502.0,403.0,80.0
BAJAJHLDNG,2019.0,431.0,347.0,80.0
HDFCLIFE,2023.0,70207.0,70127.0,80.0
ADANIGREEN,2024.0,9220.0,7318.0,79.0
ADANIENSOL,2015.0,131.0,101.0,78.0
POWERGRID,2019.0,35059.0,26920.0,77.0
BAJAJHLDNG,2021.0,457.0,352.0,77.0
BAJAJHLDNG,2022.0,484.0,367.0,76.0
BAJAJHLDNG,2017.0,842.0,628.0,75.0
BAJAJFINSV,2014.0,6023.0,4491.0,75.0
ADANIGREEN,2019.0,2058.0,1526.0,74.0
BAJAJHLDNG,2023.0,522.0,380.0,73.0
ADANIENSOL,2018.0,3944.0,2826.0,72.0
ADANIGREEN,2021.0,3124.0,2241.0,72.0
ADANIPORTS,2021.0,12550.0,8688.0,69.0
BAJAJHLDNG,2020.0,435.0,301.0,69.0
ADANIENSOL,2017.0,2876.0,1983.0,69.0
ADANIPORTS,2021.0,12550.0,8688.0,69.0
ADANIGREEN,2022.0,5133.0,3512.0,68.0
ADANIPORTS,2013.0,3577.0,2382.0,67.0
ADANIPORTS,2013.0,3577.0,2382.0,67.0
NHPC,2013.0,6381.0,4152.0,65.0
ADANIPORTS,2016.0,7109.0,4577.0,64.0
ADANIGREEN,2023.0,7776.0,4970.0,64.0
ADANIPORTS,2017.0,8439.0,5418.0,64.0
ADANIPORTS,2017.0,8439.0,5418.0,64.0
ADANIPORTS,2016.0,7109.0,4577.0,64.0
ADANIPORTS,2015.0,6152.0,3902.0,63.0
ADANIPORTS,2018.0,11323.0,7157.0,63.0
ADANIPORTS,2015.0,6152.0,3902.0,63.0
ADANIPORTS,2018.0,11323.0,7157.0,63.0
NHPC,2015.0,8221.0,5134.0,62.0
ADANIPORTS,2019.0,10925.0,6596.0,60.0
ADANIPORTS,2019.0,10925.0,6596.0,60.0
ADANIPORTS,2014.0,4830.0,2919.0,60.0
ADANIPORTS,2014.0,4830.0,2919.0,60.0
NHPC,2014.0,7389.0,4342.0,59.0
ADANIPORTS,2024.0,26711.0,15589.0,58.0
ADANIPORTS,2024.0,26711.0,15589.0,58.0
NHPC,2023.0,10607.0,6184.0,58.0
ADANIGREEN,2020.0,2549.0,1450.0,57.0
ADANIGREEN,2018.0,1480.0,843.0,57.0
NHPC,2016.0,8354.0,4783.0,57.0
NHPC,2017.0,8623.0,4884.0,57.0
ADANIPORTS,2022.0,17119.0,9528.0,56.0
ADANIPORTS,2022.0,17119.0,9528.0,56.0
NHPC,2019.0,8983.0,4981.0,55.0
NHPC,2018.0,7755.0,4248.0,55.0
NHPC,2021.0,9648.0,5277.0,55.0
NHPC,2020.0,10008.0,5446.0,54.0
ADANIPORTS,2023.0,20852.0,10947.0,52.0
BHARTIARTL,2024.0,149982.0,78292.0,52.0
ADANIPORTS,2023.0,20852.0,10947.0,52.0
BHARTIARTL,2023.0,139145.0,71274.0,51.0
NHPC,2024.0,9632.0,4807.0,50.0
ADANIPORTS,2020.0,11873.0,5947.0,50.0
ADANIPORTS,2020.0,11873.0,5947.0,50.0
BAJAJFINSV,2013.0,8055.0,3931.0,49.0
BHARTIARTL,2022.0,116547.0,57534.0,49.0
BAJAJFINSV,2015.0,11335.0,5511.0,49.0
IRCTC,2022.0,1879.0,874.0,47.0
JSWENERGY,2024.0,11486.0,5382.0,47.0
BHARTIARTL,2021.0,100616.0,45279.0,45.0
