company_id,year,eps
AXISBANK,2019.0,18.0
ASIANPAINT,2016.0,18.0
ADANIPORTS,2018.0,18.0
PIDILITIND,2019.0,18.0
PFC,2015.0,18.0
CIPLA,2018.0,18.0
ADANIENT,2015.0,18.0
RECLTD,2014.0,18.0
LODHA,2015.0,18.0
BPCL,2019.0,18.0
GAIL,2022.0,18.0
BHEL,2013.0,18.0
HDFCBANK,2014.0,18.0
BAJFINANCE,2015.0,18.0
SHRIRAMFIN,2021.0,18.0
BANKBARODA,2015.0,18.0
DRREDDY,2013.0,18.0
POWERGRID,2022.0,18.0
PNB,2015.0,18.0
JSWSTEEL,2023.0,17.0
GODREJCP,2021.0,17.0
SBILIFE,2023.0,17.0
JSWSTEEL,2020.0,17.0
PIDILITIND,2017.0,17.0
CIPLA,2016.0,17.0
RECLTD,2018.0,17.0
CANBK,2024.0,17.0
POWERGRID,2023.0,17.0
RELIANCE,2015.0,17.0
POWERGRID,2024.0,17.0
GODREJCP,2023.0,17.0
GODREJCP,2022.0,17.0
SIEMENS,2014.0,17.0
HAVELLS,2023.0,17.0
HAVELLS,2021.0,17.0
HINDALCO,2020.0,17.0
APOLLOHOSP,2016.0,17.0
BAJAJFINSV,2018.0,17.0
TITAN,2020.0,17.0
APOLLOHOSP,2019.0,17.0
ICICIBANK,2014.0,17.0
PFC,2014.0,17.0
NTPC,2023.0,17.0
NESTLEIND,2018.0,17.0
ONGC,2018.0,17.0
NTPC,2022.0,17.0
DMART,2021.0,17.0
CIPLA,2014.0,17.0
ZYDUSLIFE,2018.0,17.0
ITC,2024.0,16.0
APOLLOHOSP,2017.0,16.0
HINDALCO,2013.0,16.0
TVSMOTOR,2022.0,16.0
SUNPHARMA,2020.0,16.0
LODHA,2016.0,16.0
SBIN,2016.0,16.0
RELIANCE,2014.0,16.0
AMBUJACEM,2024.0,16.0
TITAN,2019.0,16.0
HINDALCO,2021.0,16.0
UNITDSPR,2023.0,16.0
ICICIBANK,2016.0,16.0
ICICIGI,2017.0,16.0
BRITANNIA,2014.0,16.0
GODREJCP,2018.0,16.0
DRREDDY,2017.0,16.0
PIDILITIND,2016.0,16.0
LODHA,2024.0,16.0
KOTAKBANK,2014.0,16.0
