company_id,year,operating_activity,investing_activity,financing_activity,capital_allocation
DLF,2020.0,356.0,6508.0,-9522.0,Liquidating Assets
DLF,2021.0,1460.0,150.0,-2184.0,Liquidating Assets
DLF,2022.0,2832.0,267.0,-3828.0,Liquidating Assets
DLF,2023.0,2375.0,-461.0,-2013.0,Reinvestor
DLF,2024.0,2539.0,-1529.0,177.0,Mixed
DMART,2013.0,127.0,-231.0,118.0,Mixed
DMART,2014.0,198.0,-270.0,65.0,Mixed
DMART,2015.0,222.0,-474.0,234.0,Mixed
DMART,2016.0,433.0,-633.0,196.0,Mixed
DMART,2017.0,455.0,-2482.0,2025.0,Mixed
DMART,2018.0,730.0,464.0,-1159.0,Liquidating Assets
DMART,2019.0,807.0,-958.0,209.0,Mixed
DMART,2020.0,1280.0,-4657.0,3357.0,Mixed
DMART,2021.0,1375.0,-1110.0,-180.0,Reinvestor
DMART,2022.0,1372.0,-1289.0,-179.0,Reinvestor
DMART,2023.0,2630.0,-2313.0,-205.0,Reinvestor
DMART,2024.0,2746.0,-2468.0,-148.0,Reinvestor
DRREDDY,2013.0,1378.0,-1437.0,-157.0,Reinvestor
DRREDDY,2014.0,1970.0,-1604.0,-24.0,Reinvestor
DRREDDY,2015.0,2524.0,-2370.0,-433.0,Reinvestor
DRREDDY,2016.0,3263.0,-1610.0,-1700.0,Reinvestor
DRREDDY,2017.0,2144.0,-1890.0,-369.0,Reinvestor
DRREDDY,2018.0,1803.0,-1483.0,-444.0,Reinvestor
DRREDDY,2019.0,2870.0,-769.0,-2133.0,Reinvestor
DRREDDY,2020.0,2984.0,-495.0,-2516.0,Reinvestor
DRREDDY,2021.0,3570.0,-2255.0,-30.0,Reinvestor
DRREDDY,2022.0,2811.0,-2565.0,-242.0,Reinvestor
DRREDDY,2023.0,5888.0,-4109.0,-2686.0,Reinvestor
DRREDDY,2024.0,4543.0,-4034.0,-376.0,Reinvestor
EICHERMOT,2012.0,496.0,-773.0,-111.0,Reinvestor
EICHERMOT,2013.0,716.0,-790.0,-47.0,Reinvestor
EICHERMOT,2014.0,1047.0,-1214.0,-162.0,Reinvestor
EICHERMOT,2016.0,1463.0,-1001.0,-466.0,Reinvestor
EICHERMOT,2017.0,1708.0,-1744.0,25.0,Mixed
EICHERMOT,2018.0,2482.0,-2145.0,-262.0,Reinvestor
EICHERMOT,2019.0,1575.0,-660.0,-292.0,Reinvestor
EICHERMOT,2020.0,1694.0,-1508.0,-858.0,Reinvestor
EICHERMOT,2021.0,1691.0,-1625.0,-15.0,Reinvestor
EICHERMOT,2022.0,1527.0,-983.0,-593.0,Reinvestor
EICHERMOT,2023.0,2823.0,-2397.0,-417.0,Reinvestor
EICHERMOT,2024.0,3724.0,-2834.0,-844.0,Reinvestor
GAIL,2013.0,6603.0,-8626.0,3642.0,Mixed
GAIL,2014.0,4615.0,-4466.0,-3.0,Reinvestor
GAIL,2015.0,4214.0,-2809.0,-3058.0,Reinvestor
GAIL,2016.0,3960.0,-904.0,-3028.0,Reinvestor
GAIL,2017.0,6024.0,-334.0,-5275.0,Reinvestor
GAIL,2018.0,8769.0,-2660.0,-5252.0,Reinvestor
GAIL,2019.0,7984.0,-5701.0,-3364.0,Reinvestor
GAIL,2020.0,8345.0,-8299.0,281.0,Mixed
GAIL,2021.0,8993.0,-4640.0,-3471.0,Reinvestor
GAIL,2022.0,9420.0,-5490.0,-3917.0,Reinvestor
GAIL,2023.0,3205.0,-7453.0,2972.0,Mixed
GAIL,2024.0,12586.0,-8226.0,-3457.0,Reinvestor
GODREJCP,2013.0,820.0,-865.0,282.0,Mixed
GODREJCP,2014.0,1116.0,-494.0,-620.0,Reinvestor
GODREJCP,2015.0,1027.0,-1236.0,-12.0,Reinvestor
GODREJCP,2016.0,847.0,-622.0,-202.0,Reinvestor
GODREJCP,2017.0,1860.0,-2243.0,665.0,Mixed
GODREJCP,2018.0,1723.0,-336.0,-1384.0,Reinvestor
GODREJCP,2019.0,1729.0,274.0,-2039.0,Liquidating Assets
GODREJCP,2020.0,1588.0,-552.0,-1295.0,Reinvestor
GODREJCP,2021.0,2030.0,-292.0,-1816.0,Reinvestor
GODREJCP,2022.0,1451.0,-844.0,-380.0,Reinvestor
GODREJCP,2023.0,2151.0,-1754.0,-794.0,Reinvestor
GODREJCP,2024.0,2070.0,-3435.0,1406.0,Mixed
GRASIM,2013.0,4242.0,-5687.0,1348.0,Mixed
GRASIM,2014.0,3549.0,-2336.0,-1046.0,Reinvestor
GRASIM,2015.0,4594.0,-2359.0,-2278.0,Reinvestor
GRASIM,2016.0,5868.0,-4515.0,-1365.0,Reinvestor
GRASIM,2017.0,7288.0,-3509.0,-3799.0,Reinvestor
GRASIM,2018.0,-4140.0,1546.0,3449.0,Distress Signal
GRASIM,2019.0,-1659.0,-2212.0,4158.0,Growth Funded by Debt
GRASIM,2020.0,16620.0,-11364.0,-3418.0,Reinvestor
GRASIM,2021.0,15075.0,-7146.0,-8003.0,Reinvestor
GRASIM,2022.0,7038.0,-1053.0,-6733.0,Reinvestor
GRASIM,2023.0,-12685.0,-13712.0,26469.0,Growth Funded by Debt
GRASIM,2024.0,-10719.0,-23114.0,33908.0,Growth Funded by Debt
HAL,2017.0,-423.0,3021.0,-164.0,Unknown
HAL,2018.0,-734.0,594.0,-2540.0,Unknown
HAL,2019.0,-7694.0,5292.0,2321.0,Distress Signal
HAL,2020.0,1537.0,-1334.0,64.0,Mixed
HAL,2021.0,15124.0,-1190.0,-7070.0,Reinvestor
HAL,2022.0,10180.0,-12789.0,-1464.0,Reinvestor
HAL,2023.0,8836.0,-5734.0,-1731.0,Reinvestor
HAL,2024.0,8226.0,-6412.0,-1999.0,Reinvestor
HAVELLS,2013.0,638.0,-144.0,-252.0,Reinvestor
HAVELLS,2014.0,868.0,-376.0,-310.0,Reinvestor
HAVELLS,2015.0,963.0,-485.0,-754.0,Reinvestor
HAVELLS,2016.0,513.0,-121.0,-621.0,Reinvestor
HAVELLS,2017.0,767.0,-220.0,-98.0,Reinvestor
HAVELLS,2018.0,1100.0,-946.0,-409.0,Reinvestor
HAVELLS,2019.0,501.0,185.0,-318.0,Liquidating Assets
HAVELLS,2020.0,827.0,-548.0,-716.0,Reinvestor
HAVELLS,2021.0,660.0,-763.0,190.0,Mixed
HAVELLS,2022.0,1728.0,-759.0,-547.0,Reinvestor
HAVELLS,2023.0,565.0,31.0,-907.0,Liquidating Assets
HAVELLS,2024.0,1953.0,-1618.0,-534.0,Reinvestor
HCLTECH,2013.0,4492.0,-2361.0,-2086.0,Reinvestor
HCLTECH,2014.0,6457.0,-4842.0,-1308.0,Reinvestor
HCLTECH,2015.0,5539.0,-2088.0,-3140.0,Reinvestor
HCLTECH,2016.0,3823.0,-2208.0,-2237.0,Reinvestor
HCLTECH,2017.0,8995.0,-3890.0,-4517.0,Reinvestor
HCLTECH,2018.0,8328.0,-2236.0,-5714.0,Reinvestor
HCLTECH,2019.0,8971.0,-3256.0,-1471.0,Reinvestor
HCLTECH,2020.0,13359.0,-12332.0,-3168.0,Reinvestor
HCLTECH,2021.0,19618.0,-5665.0,-11192.0,Reinvestor
HCLTECH,2022.0,16900.0,1597.0,-14508.0,Liquidating Assets
HCLTECH,2023.0,18009.0,-3573.0,-15881.0,Reinvestor
HCLTECH,2024.0,22448.0,-6608.0,-15464.0,Reinvestor
HDFCBANK,2013.0,-5847.0,-902.0,13105.0,Growth Funded by Debt
HDFCBANK,2014.0,4211.0,-1099.0,9270.0,Mixed
HDFCBANK,2015.0,-21281.0,-800.0,18694.0,Growth Funded by Debt
HDFCBANK,2016.0,-34435.0,-837.0,37815.0,Growth Funded by Debt
HDFCBANK,2017.0,17282.0,-1146.0,-5893.0,Reinvestor
HDFCBANK,2018.0,17214.0,-842.0,57378.0,Mixed
HDFCBANK,2019.0,-62872.0,-1503.0,23131.0,Growth Funded by Debt
HDFCBANK,2020.0,-16869.0,-1403.0,24394.0,Growth Funded by Debt
HDFCBANK,2021.0,42476.0,-1823.0,-7321.0,Reinvestor
HDFCBANK,2022.0,-11960.0,-2051.0,48124.0,Growth Funded by Debt
HDFCBANK,2023.0,20814.0,-2992.0,23941.0,Mixed
HDFCBANK,2024.0,19069.0,16600.0,-3983.0,Liquidating Assets
HDFCLIFE,2013.0,,,,Pre-Revenue
HDFCLIFE,2014.0,,,,Pre-Revenue
HDFCLIFE,2015.0,4459.0,-3514.0,-168.0,Reinvestor
HDFCLIFE,2016.0,5687.0,-3962.0,-212.0,Reinvestor
HDFCLIFE,2017.0,6230.0,-5177.0,-236.0,Reinvestor
HDFCLIFE,2018.0,6739.0,-4421.0,-196.0,Reinvestor
HDFCLIFE,2019.0,9868.0,-10182.0,-337.0,Reinvestor
HDFCLIFE,2020.0,7388.0,-7789.0,38.0,Mixed
HDFCLIFE,2021.0,9703.0,-8952.0,678.0,Mixed
HDFCLIFE,2022.0,5943.0,-801.0,-238.0,Reinvestor
HDFCLIFE,2023.0,6883.0,-10071.0,1985.0,Mixed
HDFCLIFE,2024.0,10721.0,-13614.0,-403.0,Reinvestor
HEROMOTOCO,2014.0,2963.0,-1616.0,-1414.0,Reinvestor
HEROMOTOCO,2015.0,2186.0,31.0,-2131.0,Liquidating Assets
HEROMOTOCO,2016.0,3722.0,-2300.0,-1475.0,Reinvestor
HEROMOTOCO,2017.0,4007.0,-1972.0,-2036.0,Reinvestor
HEROMOTOCO,2018.0,4017.0,-1858.0,-2102.0,Reinvestor
HEROMOTOCO,2019.0,1032.0,1298.0,-2252.0,Liquidating Assets
HEROMOTOCO,2020.0,5518.0,-2819.0,-2602.0,Reinvestor
HEROMOTOCO,2021.0,4110.0,-2289.0,-1852.0,Reinvestor
HEROMOTOCO,2022.0,2104.0,-222.0,-1975.0,Reinvestor
HEROMOTOCO,2023.0,2614.0,-421.0,-2147.0,Reinvestor
HEROMOTOCO,2024.0,4923.0,-1828.0,-2717.0,Reinvestor
HINDALCO,2013.0,2977.0,-13801.0,10278.0,Mixed
HINDALCO,2014.0,7956.0,-8095.0,1493.0,Mixed
HINDALCO,2015.0,7143.0,-3873.0,-2437.0,Reinvestor
HINDALCO,2016.0,11688.0,-3220.0,-8862.0,Reinvestor
HINDALCO,2017.0,12687.0,-2876.0,-5552.0,Reinvestor
HINDALCO,2018.0,10898.0,5333.0,-16412.0,Liquidating Assets
HINDALCO,2019.0,11977.0,-5456.0,-5466.0,Reinvestor
HINDALCO,2020.0,12745.0,-7227.0,6656.0,Mixed
HINDALCO,2021.0,17232.0,-25280.0,-4882.0,Reinvestor
